"35"	"221"
"35"	"117"
"35"	"118"
"35"	"204"
"185"	"26"
"185"	"221"
"185"	"242"
"185"	"118"
"185"	"31"
"185"	"204"
"180"	"26"
"180"	"230"
"180"	"145"
"180"	"221"
"180"	"118"
"180"	"228"
"180"	"237"
"180"	"204"
"181"	"26"
"181"	"230"
"181"	"145"
"181"	"221"
"181"	"118"
"181"	"228"
"181"	"237"
"181"	"204"
"179"	"26"
"179"	"63"
"179"	"177"
"179"	"145"
"179"	"221"
"179"	"242"
"179"	"27"
"179"	"13"
"179"	"118"
"179"	"166"
"179"	"228"
"179"	"237"
"179"	"31"
"179"	"82"
"179"	"204"
"183"	"179"
"104"	"145"
"104"	"179"
"124"	"145"
"124"	"179"
"71"	"26"
"71"	"63"
"71"	"179"
"105"	"26"
"105"	"145"
"105"	"179"
"108"	"145"
"108"	"126"
"108"	"179"
"174"	"145"
"174"	"13"
"174"	"179"
"203"	"63"
"203"	"27"
"203"	"179"
"5"	"26"
"5"	"63"
"5"	"82"
"5"	"179"
"51"	"230"
"51"	"145"
"51"	"237"
"51"	"204"
"51"	"179"
"176"	"125"
"176"	"145"
"176"	"233"
"176"	"13"
"176"	"179"
"32"	"27"
"32"	"109"
"32"	"68"
"32"	"60"
"32"	"82"
"32"	"179"
"1"	"26"
"1"	"145"
"1"	"25"
"1"	"126"
"1"	"82"
"1"	"204"
"1"	"179"
"20"	"26"
"20"	"145"
"20"	"27"
"20"	"13"
"20"	"60"
"20"	"82"
"20"	"179"
"171"	"26"
"171"	"63"
"171"	"230"
"171"	"145"
"171"	"118"
"171"	"166"
"171"	"179"
"159"	"27"
"159"	"109"
"159"	"55"
"159"	"60"
"159"	"82"
"159"	"179"
"33"	"27"
"33"	"209"
"33"	"166"
"33"	"109"
"33"	"55"
"33"	"68"
"33"	"60"
"33"	"82"
"33"	"179"
"50"	"26"
"50"	"230"
"50"	"145"
"50"	"221"
"50"	"117"
"50"	"13"
"50"	"228"
"50"	"204"
"50"	"179"
"133"	"26"
"133"	"117"
"133"	"166"
"133"	"237"
"133"	"21"
"133"	"68"
"133"	"60"
"133"	"82"
"133"	"179"
"208"	"26"
"208"	"63"
"208"	"125"
"208"	"145"
"208"	"189"
"208"	"233"
"208"	"242"
"208"	"27"
"208"	"13"
"208"	"166"
"208"	"109"
"208"	"60"
"208"	"82"
"208"	"220"
"208"	"179"
"208"	"203"
"208"	"159"
"199"	"208"
"67"	"60"
"67"	"208"
"116"	"60"
"116"	"208"
"76"	"60"
"76"	"179"
"76"	"208"
"158"	"145"
"158"	"60"
"158"	"208"
"167"	"145"
"167"	"179"
"167"	"208"
"172"	"145"
"172"	"13"
"172"	"208"
"222"	"242"
"222"	"208"
"161"	"125"
"161"	"145"
"161"	"60"
"161"	"208"
"168"	"125"
"168"	"145"
"168"	"179"
"168"	"208"
"170"	"125"
"170"	"166"
"170"	"60"
"170"	"208"
"229"	"14"
"229"	"17"
"229"	"126"
"229"	"208"
"52"	"230"
"52"	"13"
"52"	"118"
"52"	"179"
"52"	"208"
"54"	"125"
"54"	"109"
"54"	"60"
"54"	"82"
"54"	"208"
"114"	"125"
"114"	"60"
"114"	"82"
"114"	"179"
"114"	"208"
"137"	"126"
"137"	"60"
"137"	"82"
"137"	"203"
"137"	"208"
"173"	"125"
"173"	"145"
"173"	"13"
"173"	"60"
"173"	"208"
"4"	"230"
"4"	"221"
"4"	"237"
"4"	"82"
"4"	"204"
"4"	"208"
"53"	"145"
"53"	"233"
"53"	"13"
"53"	"204"
"53"	"179"
"53"	"208"
"121"	"165"
"121"	"60"
"121"	"190"
"121"	"71"
"121"	"171"
"121"	"208"
"156"	"125"
"156"	"145"
"156"	"13"
"156"	"60"
"156"	"179"
"156"	"208"
"175"	"125"
"175"	"145"
"175"	"13"
"175"	"60"
"175"	"179"
"175"	"208"
"239"	"6"
"239"	"148"
