Size	Connectance	Basal_p	Network	Species	Persistence	in_Degree	out_Degree	STL	m12	m36	m38	m6	p(12, 0, 1)	p(12, 1, 0)	p(12, 1, 1)	p(36, 0, 1)	p(36, 2, 0)	p(38, 0, 2)	p(38, 1, 1)	p(38, 2, 0)	p(6, 0, 2)	p(6, 1, 0)
260	0.024	0.0	kongsfjorden	"sp25"	0.80987	2	1	2	5	274	0	78	0	3	2	274	0	0	0	0	1	77
260	0.024	0.0	kongsfjorden	"sp109"	0.75548	41	5	2	299	379	127	869	108	10	181	378	1	94	24	9	726	143
260	0.024	0.0	kongsfjorden	"sp70"	0.80932	2	2	2	12	226	1	84	0	9	3	225	1	0	1	0	1	83
260	0.024	0.0	kongsfjorden	"sp84"	0.80888	2	2	2	7	273	2	55	0	5	2	272	1	0	2	0	1	54
260	0.024	0.0	kongsfjorden	"sp118"	0.78777	28	14	2	424	389	71	587	10	22	392	336	53	33	0	38	345	242
260	0.024	0.0	kongsfjorden	"sp137"	0.81062	3	1	2	4	301	0	33	0	1	3	301	0	0	0	0	3	30
260	0.024	0.0	kongsfjorden	"sp146"	0.77319	3	6	2	98	236	15	48	34	56	8	224	12	2	10	3	1	47
260	0.024	0.0	kongsfjorden	"sp16"	0.64825	7	1	3	52	72	15	10	45	0	7	72	0	15	0	0	6	4
260	0.024	0.0	kongsfjorden	"sp22"	0.6975	21	14	3	357	153	94	306	105	4	248	67	86	43	46	5	167	139
260	0.024	0.0	kongsfjorden	"sp127"	0.67689	3	5	3	46	26	19	153	39	2	5	25	1	0	10	9	3	150
260	0.024	0.0	kongsfjorden	"sp99"	0.81022	2	8	2	56	239	15	87	0	52	4	214	25	0	12	3	1	86
260	0.024	0.0	kongsfjorden	"sp174"	0.76984	6	8	2	55	348	37	217	0	20	35	336	12	8	13	16	7	210
260	0.024	0.0	kongsfjorden	"sp216"	0.8096	2	3	2	17	275	2	132	0	13	4	272	3	0	2	0	1	131
260	0.024	0.0	kongsfjorden	"sp158"	0.9001	0	7	1	58	17	4	147	0	58	0	0	17	0	0	4	0	147
260	0.024	0.0	kongsfjorden	"sp207"	0.67958	10	12	3	172	98	81	166	101	7	64	48	50	9	56	16	36	130
260	0.024	0.0	kongsfjorden	"sp110"	0.80898	2	2	2	7	272	3	85	0	5	2	272	0	0	2	1	1	84
260	0.024	0.0	kongsfjorden	"sp85"	0.80916	2	3	2	26	222	7	63	0	25	1	221	1	0	5	2	1	62
260	0.024	0.0	kongsfjorden	"sp209"	0.81011	2	3	2	15	275	2	106	0	9	6	274	1	0	0	2	1	105
260	0.024	0.0	kongsfjorden	"sp194"	0.80647	2	3	2	15	275	2	106	0	9	6	274	1	0	0	2	1	105
260	0.024	0.0	kongsfjorden	"sp3"	0.9022	0	15	1	36	102	3	314	0	36	0	0	102	0	0	3	0	314
260	0.024	0.0	kongsfjorden	"sp242"	0.81127	2	1	2	8	226	0	28	0	6	2	226	0	0	0	0	1	27
260	0.024	0.0	kongsfjorden	"sp183"	0.75666	11	3	2	32	330	26	136	0	9	23	329	1	14	10	2	41	95
