"Network" "S" "C" "Disturbance" "Motif" "Motif_slope"
"7" "50" "0.02" "0.8" "Direct" "0.1589880246858"
"7" "50" "0.02" "1" "Omnivory" "-0.439885511784672"
"7" "50" "0.02" "1" "Chain" "-0.291062194898614"
"7" "50" "0.02" "1" "Apparent" "0.283078637981386"
"7" "50" "0.02" "1" "Direct" "0.176567549531345"
"8" "50" "0.02" "0" "Omnivory" "-0.261583145097019"
"8" "50" "0.02" "0" "Chain" "0.0861478504784817"
"8" "50" "0.02" "0" "Apparent" "-0.111279649634099"
"8" "50" "0.02" "0" "Direct" "0.2569560888704"
"8" "50" "0.02" "0.2" "Omnivory" "-0.360658478667157"
"8" "50" "0.02" "0.2" "Chain" "0.0755795340786451"
"8" "50" "0.02" "0.2" "Apparent" "-0.0352187607107825"
"8" "50" "0.02" "0.2" "Direct" "0.220271001786026"
"8" "50" "0.02" "0.4" "Omnivory" "-0.439210186135366"
"8" "50" "0.02" "0.4" "Chain" "0.0298882329479964"
"8" "50" "0.02" "0.4" "Apparent" "0.0420315425986529"
"8" "50" "0.02" "0.4" "Direct" "0.210091450575839"
"8" "50" "0.02" "0.6" "Omnivory" "-0.477018287707796"
"8" "50" "0.02" "0.6" "Chain" "-0.0330138519508752"
"8" "50" "0.02" "0.6" "Apparent" "0.104669173956623"
"8" "50" "0.02" "0.6" "Direct" "0.214504720428053"
"8" "50" "0.02" "0.8" "Omnivory" "-0.492408313402432"
"8" "50" "0.02" "0.8" "Chain" "-0.111128710000297"
"8" "50" "0.02" "0.8" "Apparent" "0.158021514714414"
"8" "50" "0.02" "0.8" "Direct" "0.235248599206819"
"8" "50" "0.02" "1" "Omnivory" "-0.496740024039814"
"8" "50" "0.02" "1" "Chain" "-0.198227669565956"
"8" "50" "0.02" "1" "Apparent" "0.215002015744131"
"8" "50" "0.02" "1" "Direct" "0.251897090874258"
"9" "50" "0.02" "0" "Omnivory" "-0.40363679462298"
"9" "50" "0.02" "0" "Chain" "0.14946680668777"
"9" "50" "0.02" "0" "Apparent" "-0.128446512672133"
"9" "50" "0.02" "0" "Direct" "0.373302567081753"
"9" "50" "0.02" "0.2" "Omnivory" "-0.517609111581368"
"9" "50" "0.02" "0.2" "Chain" "0.0897535198075611"
"9" "50" "0.02" "0.2" "Apparent" "-0.0378027470610182"
"9" "50" "0.02" "0.2" "Direct" "0.379492329931774"
"9" "50" "0.02" "0.4" "Omnivory" "-0.565867825142285"
"9" "50" "0.02" "0.4" "Chain" "-0.0101964596830089"
"9" "50" "0.02" "0.4" "Apparent" "0.0457729357422185"
"9" "50" "0.02" "0.4" "Direct" "0.399200054736984"
"9" "50" "0.02" "0.6" "Omnivory" "-0.578085456061995"
"9" "50" "0.02" "0.6" "Chain" "-0.129710677300018"
"9" "50" "0.02" "0.6" "Apparent" "0.125363416185161"
"9" "50" "0.02" "0.6" "Direct" "0.42267680622134"
"9" "50" "0.02" "0.8" "Omnivory" "-0.571335107102403"
"9" "50" "0.02" "0.8" "Chain" "-0.271275699627283"
"9" "50" "0.02" "0.8" "Apparent" "0.206385075754036"
"9" "50" "0.02" "0.8" "Direct" "0.455711037552358"
"9" "50" "0.02" "1" "Omnivory" "-0.566035938614583"
"9" "50" "0.02" "1" "Chain" "-0.42195198663088"
"9" "50" "0.02" "1" "Apparent" "0.291990189049589"
"9" "50" "0.02" "1" "Direct" "0.489049784972887"
"10" "50" "0.02" "0" "Omnivory" "-0.0901985185400145"
"10" "50" "0.02" "0" "Chain" "0.145311813803347"
"10" "50" "0.02" "0" "Apparent" "-0.336921088138736"
"10" "50" "0.02" "0" "Direct" "0.452733363568582"
"10" "50" "0.02" "0.2" "Omnivory" "-0.202549991805921"
"10" "50" "0.02" "0.2" "Chain" "0.10026385498662"
"10" "50" "0.02" "0.2" "Apparent" "-0.220258412846836"
"10" "50" "0.02" "0.2" "Direct" "0.413925198610067"
"10" "50" "0.02" "0.4" "Omnivory" "-0.26191386649814"
"10" "50" "0.02" "0.4" "Chain" "0.0323066705569921"
"10" "50" "0.02" "0.4" "Apparent" "-0.123319320112611"
"10" "50" "0.02" "0.4" "Direct" "0.390750249793041"
"10" "50" "0.02" "0.6" "Omnivory" "-0.304310924857426"
"10" "50" "0.02" "0.6" "Chain" "-0.0471521778030296"
"10" "50" "0.02" "0.6" "Apparent" "-0.0432912959417968"
"10" "50" "0.02" "0.6" "Direct" "0.395205891936433"
"10" "50" "0.02" "0.8" "Omnivory" "-0.32630154421099"
"10" "50" "0.02" "0.8" "Chain" "-0.137581748128723"
"10" "50" "0.02" "0.8" "Apparent" "0.0295718814032986"
"10" "50" "0.02" "0.8" "Direct" "0.406378471205469"
